Targa2,Euro 0,Euro 1,Euro 2,Euro 3,Euro 4,Euro 5,Euro 6,Elettrico
FV,0.00246913580246914,0.00135404221425727,0.00183193946634807,0.00374352847471127,0.021505376344086,0.0534448426921545,0.907287933094385,0.00836320191158901
FW,0.00112599265141638,0.00029631385563589,0.00100746710916202,0.00337797795424914,0.014993481095176,0.0436766623207301,0.930425506696693,0.0050965983169373
FX,0.000985928116877297,8.9629828807027E-05,0.000358519315228108,0.0013444474321054,0.00537778972842162,0.0270682082997221,0.956171013713364,0.00860446356547459
FY,0.00174193548387097,0.000709677419354839,0.002,0.00245161290322581,0.0130967741935484,0.0289032258064516,0.944193548387097,0.00690322580645161
FZ,0.000720980533525595,0.000288392213410238,0.00115356885364095,0.0026676279740447,0.00894015861571737,0.0137707281903389,0.968781542898342,0.00367700072098053
GA,0.00112879557512135,0.000282198893780336,0.00112879557512135,0.0029348684953155,0.0121345524325545,0.0298566429619596,0.943447341686421,0.00908680437972683
GB,0.000894163550642172,0.000325150382051699,0.00113802633718095,0.00162575191025849,0.00593399447244351,0.0258494553731101,0.946106324174931,0.0181271337993822
GC,0.00116800885227762,0.000368844900719248,0.000676215651318621,0.00202864695395586,0.0102661830700191,0.0232372287453126,0.947132230896908,0.0151226409294892
GD,0.00105739293896493,0,0.000822416730306056,0.00146860130411796,0.00939904834635493,0.0227926922399107,0.892968336955883,0.0714915114844622
GE,0.00624626581934713,0.00130356851882027,0.00358481342675574,0.00477975123567433,0.0192819510075498,0.033892781489327,0.895605887784477,0.035304980718049
GF,0.000377162792890481,4.71453491113102E-05,0.00122577907689406,0.00259299420112206,0.012163500070718,0.0207910989580878,0.935646598463062,0.0271557210881147
GG,0.000526870389884088,0.000395152792413066,0.000987881981032666,0.00190990516332982,0.011722866174921,0.0117887249736565,0.938158587987355,0.0345100105374078
GH,0.00139462233627134,0.000390494254155975,0.00111569786901707,0.00223139573803414,0.00998549592770278,0.0265536092826063,0.936851500613634,0.0214771839785786
GJ,0.000590987441516868,0.000147746860379217,0.000886481162275302,0.00300418616104408,0.0121644915045555,0.020192070918493,0.946417138635804,0.016596897315932
